"LineNo","sample_names","delta.O18","delta.H2","sd.O18","sd.H2","d.excess","sd.d.excess"
1,"HGL-0.block1",-1.2347077115968,-6.71295902200433,0.0125830573921179,0.278884085837348,3.1647026707701,0.296495643588007
2,"DML.block1",-42.3324231628864,-339.63171929338,0.0321608515080488,0.769420144955663,-0.972333990289428,0.811297641513797
3,"TD1.block1",-33.9792704155954,-266.757929187577,0.00445035365214964,0.0709584877911618,5.07623413718676,0.0793893471309429
4,"JASE.block1",-50.3083064215182,-393.310351519043,0.0368812327396616,0.436996483989975,9.15609985310243,0.52727634883144
5,"F4-01",-44.3267447899023,-348.191972017873,0.0442977425483287,0.0961310801676835,6.4219863013459,0.367188976204894
6,"F4-02",-44.0998051192125,-346.820845065126,0.00935294140535456,0.151593254852752,5.97759588857394,0.169053470075297
7,"F4-03",-43.407653571507,-342.898709270907,0.0208715010583329,0.113367237421793,4.36251930114844,0.201821163736711
8,"F4-04",-43.1465908468329,-343.114937866173,0.0312859783893518,0.106729066442869,2.05778890849047,0.272093899280417
9,"F4-05",-43.3962395936233,-346.137641663467,0.00390841986924407,0.0164754710351769,1.0322750855201,0.0353424515531432
10,"F4-06",-43.3892959720979,-344.539846141299,0.0213823130329475,0.0801846359678268,2.57452163548385,0.188919527117199
11,"F4-07",-43.0298644541785,-339.924098926163,0.00220382598684594,0.0558531915952264,4.31481670726527,0.0585697647776744
12,"F4-08",-42.9379457049186,-338.446807108876,0.0129814428739306,0.0608436016870889,5.05675853047336,0.120362314899478
13,"F4-09",-43.3649432036289,-341.838066521444,0.0130906564929516,0.0264746648961578,5.08147910758731,0.108019842047732
14,"F4-10",-44.3145425782227,-349.828733547398,0.0091314761567629,0.0586937840425133,4.68760707838356,0.0937098026917519
15,"F4-11",-45.5031924808663,-360.161645728722,0.0302712182352316,0.11656864009786,3.86389411820863,0.268764643647087
16,"F4-12",-46.4477783826404,-368.582111063753,0.0302126689610424,0.0364918997158128,3.00011599737019,0.244440590231736
17,"F4-13",-46.6735490240055,-370.482908569669,0.0424247487431025,0.0800135917530771,2.90548362237445,0.348702122797973
18,"F4-14",-46.2638543210282,-365.840618283209,0.00688423186626323,0.0404319902346187,4.27021628501643,0.0683218510521681
19,"F4-15",-45.2561480723352,-356.295805906411,0.0198697771403921,0.0505292550387124,5.75337867227023,0.166796044334791
20,"F4-16",-44.036523726177,-344.898287235319,0.0352823098343881,0.0788569145088281,7.39390257409667,0.29306699191454
21,"DML.block2",-42.6313278253315,-342.493726349034,0.015429049949131,0.108700224207251,-1.44310374638178,0.164472781979282
22,"NGT.block2",-33.9861296150717,-262.205132434467,0.0285197507384869,0.405460769329965,9.68390448610654,0.465246720703665
23,"JASE.block2",-50.3593357950118,-393.827187955888,0.0657590538178141,0.530633044842894,9.04749840420681,0.747210566344018
24,"F4-17",-42.907776312958,-334.803491224888,0.0171658036711858,0.135588525543622,8.45871927877533,0.192983927990043
25,"F4-18",-42.3217223006613,-330.711536538155,0.0300667574349503,0.0934731032921846,7.8622418671348,0.258057851670528
26,"F4-19",-42.3379908975057,-331.348573863043,0.0213096209476257,0.161023831437814,7.35535331700208,0.234501750028712
27,"F4-20",-43.1061008591296,-338.68340108787,0.00955188631731384,0.0350872561953596,6.16540578516737,0.0840855612416757
28,"F4-21",-44.4325527569024,-350.675165332865,0.0308924123876512,0.0775035904062263,4.78525672235372,0.259007026325722
29,"F4-22",-45.6617975337276,-361.349565808534,0.018279679702342,0.134726251861489,3.94481446128623,0.198838002157382
30,"F4-23",-46.2971342941609,-366.042608192139,0.0175257215604157,0.0680823946913192,4.33446616114833,0.155861705061091
31,"F4-24",-46.2829792285417,-364.727450622851,0.0187944915187284,0.492072477976315,5.53638320548231,0.514531077695405
32,"F4-25",-46.0760815654722,-363.068586833974,0.0236137669830268,0.0694165126581009,5.5400656898035,0.201260258525741
33,"F4-26",-46.0701337232508,-363.606270958246,0.0139392324315315,0.116628762442164,4.95479882776067,0.161361733625811
34,"F4-27",-46.3739029794466,-367.089733206959,0.0149183466349609,0.0953745266607994,3.90149062861343,0.152774188200448
35,"F4-28",-46.8194992832744,-371.320593728122,0.0325390008343627,0.108871089950217,3.2354005380725,0.282161753336738
36,"F4-29",-47.1038714986801,-372.960324978378,0.00519824966814238,0.0552783108969272,3.87064701106277,0.0691743220480494
37,"F4-30",-46.669549346229,-367.828716554786,0.0293096895373842,0.0130897712534907,5.52767821504648,0.234842602100324
38,"F4-31",-45.811603966393,-357.928766898272,0.0369762207081013,0.0268951017252908,8.5640648328723,0.297029904150211
39,"F4-32",-44.7780737074892,-347.321105252331,0.0195141665810979,0.117699060238422,10.9034844075828,0.195510719429185
40,"DML.block3",-42.5442155193681,-341.402301157424,0.00626917407827586,0.062873501840903,-1.04857700247948,0.0804266126705364
41,"TD1.block3",-33.8790843253969,-266.035957960354,0.0054636921984774,0.410941280095634,4.99671664282187,0.413259312493717
42,"JASE.block3",-50.1967001552349,-392.261740882222,0.0516452258883254,0.584275717774517,9.31186035965709,0.715598206560442
