Identifier 1,d,state,value
F4-01,d18O,processed,-44.3267447899023
F4-02,d18O,processed,-44.0998051192125
F4-03,d18O,processed,-43.407653571507
F4-04,d18O,processed,-43.1465908468329
F4-05,d18O,processed,-43.3962395936233
F4-06,d18O,processed,-43.3892959720979
F4-07,d18O,processed,-43.0298644541785
F4-08,d18O,processed,-42.9379457049186
F4-09,d18O,processed,-43.3649432036289
F4-10,d18O,processed,-44.3145425782227
F4-11,d18O,processed,-45.5031924808663
F4-12,d18O,processed,-46.4477783826404
F4-13,d18O,processed,-46.6735490240055
F4-14,d18O,processed,-46.2638543210282
F4-15,d18O,processed,-45.2561480723352
F4-16,d18O,processed,-44.036523726177
F4-17,d18O,processed,-42.907776312958
F4-18,d18O,processed,-42.3217223006613
F4-19,d18O,processed,-42.3379908975057
F4-20,d18O,processed,-43.1061008591296
F4-21,d18O,processed,-44.4325527569024
F4-22,d18O,processed,-45.6617975337276
F4-23,d18O,processed,-46.2971342941609
F4-24,d18O,processed,-46.2829792285417
F4-25,d18O,processed,-46.0760815654722
F4-26,d18O,processed,-46.0701337232508
F4-27,d18O,processed,-46.3739029794466
F4-28,d18O,processed,-46.8194992832744
F4-29,d18O,processed,-47.1038714986801
F4-30,d18O,processed,-46.669549346229
F4-31,d18O,processed,-45.811603966393
F4-32,d18O,processed,-44.7780737074892
F4-01,dD,processed,-348.191972017873
F4-02,dD,processed,-346.820845065126
F4-03,dD,processed,-342.898709270907
F4-04,dD,processed,-343.114937866173
F4-05,dD,processed,-346.137641663467
F4-06,dD,processed,-344.539846141299
F4-07,dD,processed,-339.924098926163
F4-08,dD,processed,-338.446807108876
F4-09,dD,processed,-341.838066521444
F4-10,dD,processed,-349.828733547398
F4-11,dD,processed,-360.161645728722
F4-12,dD,processed,-368.582111063753
F4-13,dD,processed,-370.482908569669
F4-14,dD,processed,-365.840618283209
F4-15,dD,processed,-356.295805906411
F4-16,dD,processed,-344.898287235319
F4-17,dD,processed,-334.803491224888
F4-18,dD,processed,-330.711536538155
F4-19,dD,processed,-331.348573863043
F4-20,dD,processed,-338.68340108787
F4-21,dD,processed,-350.675165332865
F4-22,dD,processed,-361.349565808534
