Line,Identifier 1,block,Identifier 2,delta.O18,delta.H2,sd.O18,sd.H2,d.Excess,sd.d.Excess
1,HGL-0,1,NA,NA,NA,NA,NA,NA,NA
2,DML,1,NA,-42.5043230916005,2.0000000000000013,0.028015638508944413,0,342.034584732804,0.2241251080715553
3,TD1,1,NA,-33.96581275980446,2.0000000000000013,0.03314101179042932,0,273.72650207843566,0.26512809432343454
4,JASE,1,NA,-50.32837199958152,2.0000000000000013,0.017580783834225983,0,404.62697599665216,0.14064627067380786
5,F4-01,NA,NA,-44.311667687775106,2.0000000000000013,0.05293933773949688,0,356.49334150220085,0.42351470191597507
6,F4-02,NA,NA,-44.04966143141196,2.0000000000000013,0.00838973813844712,0,354.3972914512957,0.06711790510757697
7,F4-03,NA,NA,-43.36319669123955,2.0000000000000013,0.025045063129932713,0,348.9055735299164,0.2003605050394617
8,F4-04,NA,NA,-43.10095586200905,2.0000000000000013,0.030163812369436535,0,346.8076468960724,0.24131049895549228
9,F4-05,NA,NA,-43.34785816982013,2.0000000000000013,0.002321099697057415,0,348.782865358561,0.01856879757645932
10,F4-06,NA,NA,-43.34363757129603,2.0000000000000013,0.020880371756211765,0,348.7491005703682,0.16704297404969412
11,F4-07,NA,NA,-42.988643904835044,2.0000000000000013,6.241879833796468e-4,0,345.90915123868035,0.0049935038670371745
12,F4-08,NA,NA,-42.89650509838102,2.0000000000000013,0.012580837866186894,0,345.17204078704816,0.10064670292949515
13,F4-09,NA,NA,-43.319922334616734,2.0000000000000013,0.012809376383066255,0,348.5593786769339,0.10247501106453004
14,F4-10,NA,NA,-44.264316021030254,2.0000000000000013,0.014117535887967622,0,356.11452816824203,0.11294028710374097
15,F4-11,NA,NA,-45.449062548819725,2.0000000000000013,0.03624665918842499,0,365.5925003905578,0.28997327350739993
16,F4-12,NA,NA,-46.39363388405758,2.0000000000000013,0.028147430952353735,0,373.14907107246063,0.22517944761882988
17,F4-13,NA,NA,-46.623836744273675,2.0000000000000013,0.04148871641131027,0,374.9906939541894,0.3319097312904822
18,F4-14,NA,NA,-46.219538863827694,2.0000000000000013,0.006278898366417885,0,371.75631091062155,0.05023118693134308
19,F4-15,NA,NA,-45.22069082501526,2.0000000000000013,0.014086023150337225,0,363.7655266001221,0.1126881852026978
20,F4-16,NA,NA,-44.00746167546623,2.0000000000000013,0.037812519778192964,0,354.05969340372985,0.3025001582255437
21,DML,2,NA,-42.614719192873814,2.0000000000000013,0.013991018185765505,0,342.9177535429905,0.11192814548612404
22,NGT,2,NA,-34.039674533059525,2.0000000000000013,0.0809713067213594,0,274.3173962644762,0.6477704537708752
23,JASE,2,NA,-50.193823098643,2.0000000000000013,0.16164657324988913,0,403.550584789144,1.293172585999113
24,F4-17,NA,NA,-42.92717552214375,2.0000000000000013,0.03397045202359196,0,345.41740417715,0.2717636161887357
25,F4-18,NA,NA,-42.299281186203025,2.0000000000000013,0.03156173805107711,0,340.3942494896242,0.25249390440861685
26,F4-19,NA,NA,-42.31319820786386,2.0000000000000013,0.02073843105930716,0,340.5055856629109,0.1659074484744573
27,F4-20,NA,NA,-43.07455834512094,2.0000000000000013,0.013197113828374544,0,346.59646676096753,0.10557691062699635
28,F4-21,NA,NA,-44.39409117376309,2.0000000000000013,0.024319398415676513,0,357.1527293901047,0.1945551873254121
29,F4-22,NA,NA,-45.62035825048417,2.0000000000000013,0.015669811640596602,0,366.9628660038734,0.12535849312477282
30,F4-23,NA,NA,-46.257698699248046,2.0000000000000013,0.01251779836104519,0,372.06158959398437,0.10014238688836152
31,F4-24,NA,NA,-46.248690879942906,2.0000000000000013,0.01826639932879887,0,371.98952703954325,0.14613119463039095
32,F4-25,NA,NA,-46.04467976754629,2.0000000000000013,0.023032618351340756,0,370.35743814037033,0.18426094681072605
33,F4-26,NA,NA,-46.038540436436634,2.0000000000000013,0.014160231619101966,0,370.30832349149307,0.11328185295281573
34,F4-27,NA,NA,-46.34034634252362,2.0000000000000013,0.0145169112472233,0,372.72277074018893,0.1161352899777864
35,F4-28,NA,NA,-46.78439731366444,2.0000000000000013,0.03472451497376933,0,376.27517850931554,0.2777961197901546
36,F4-29,NA,NA,-47.06935202018022,2.0000000000000013,0.0034665987089494417,0,378.55481616144175,0.027732789671595533
37,F4-30,NA,NA,-46.64220002252379,2.0000000000000013,0.02674483408518429,0,375.1376001801903,0.2139586726814743
38,F4-31,NA,NA,-45.79125903366963,2.0000000000000013,0.03551245210408286,0,368.33007226935706,0.2840996168326629
39,F4-32,NA,NA,-44.76346501641399,2.0000000000000013,0.023723421470701146,0,360.1077201313119,0.18978737176560917
40,DML,3,NA,-42.55377166943791,2.0000000000000013,0.021531156991585036,0,342.43017335550326,0.17224925593268028
41,TD1,3,NA,-33.960335189454156,2.0000000000000013,0.06403393376576647,0,273.68268151563325,0.5122714701261317
42,JASE,3,NA,-50.046481250764174,2.0000000000000013,0.14324623234229944,0,402.3718500061134,1.1459698587383955
