Line,Identifier 1,block,Identifier 2,delta.O18,delta.H2,sd.O18,sd.H2,d.Excess,sd.d.Excess
1,MilliQ IsoLab_2,1,NA,NA,NA,NA,NA,NA,NA
2,SEZ-2_3,1,NA,-28.013454218401357,-214.11962457960854,0.006584514626079243,0.03603967049962731,9.988009167602295,0.0210908250690845
3,HGL-1_7,1,NA,-0.5361432466332421,-10.741405827352477,0.0189841515839459,0.01271585534610266,-6.45225985428654,0.15944405948673873
4,MXW_7,1,NA,-43.64661546401854,-358.96164071001266,0.03921891998929724,0.04822462909268303,-9.788716997864336,0.277843880502645
5,HDW1_3,1,NA,-13.179052799777113,-104.2386697871236,0.010789433341473436,0.08357406414885078,1.193752611093302,0.02384219149356995
6,NGT_3,1,NA,-35.499732099567964,-276.7660922952833,0.01705239821302086,0.0609221239426052,7.231764501260443,0.08924415303538413
7,S419_29.09.2017,NA,NA,-12.497089341718178,-108.26316276001164,0.159525959945259,0.5226981976029551,-8.286448026266214,0.756263741252173
8,S420_30.09.2017,NA,NA,-16.843018000302344,-120.8070381916042,0.021560118551556682,0.05247003539844852,13.937105810814538,0.12001428621642306
9,S421_03.10.2017,NA,NA,-23.0385103443567,-175.65343398424008,0.3430187026356734,1.4463918660955668,8.654648770613496,1.2983941398007943
10,S422_04.10.2017,NA,NA,NA,NA,NA,NA,NA,NA
11,S431_03.11.2017,NA,NA,NA,NA,NA,NA,NA,NA
12,S437_03.12.2017,NA,NA,-32.63449994026,-253.638420383559,0.002315501591867794,0.042763258181891306,7.437579138520988,0.025803257285333864
13,S439_20.12.17,NA,NA,-32.285420269431974,-251.10159970970346,0.011923555818038622,0.020919073703311038,7.181762445752327,0.11407339527169508
14,S443_23.01.2018,NA,NA,-19.80553080243582,-193.30009335947094,0.008228533578707689,0.05687843044262812,-34.855846939984396,0.02215950565834633
15,S455_10.04.2018,NA,NA,8.49571256835434,-85.19214146444044,0.018873706491721782,0.059811957113516716,-153.15784201127514,0.1303961690868721
16,S488_16.09.2018_NM,NA,NA,-6.310323922454281,-115.39584987860704,0.018229007773541726,0.046234836304460125,-64.91325849897278,0.12100845366589329
17,S536_08.04.2019_NM,NA,NA,-21.499464969975108,-167.50110055749857,0.01324472369335841,0.12135195447035525,4.49461920230227,0.06318626565770892
18,S537_09.04.2019_NM,NA,NA,-18.531602452787617,-166.98753511196074,0.016922333271175115,0.10325504066142917,-18.734715489659795,0.06499320567798131
19,S519_31.01.2019_NM,NA,NA,-38.365574716945275,-311.428092149188,0.016500795084328876,0.06431776297392686,-4.503494413625788,0.07729851134218249
20,S532_14.03.2019_NM,NA,NA,-33.335631699598096,-265.47266486138716,0.04621279806688303,0.11049156065238482,1.2123887353976102,0.271143501209016
21,S529_07.03.2019_NM,NA,NA,-29.43423448192991,-232.6764286927419,0.013535498085517057,0.03309085688154837,2.7974471626973902,0.08140388123831899
