Identifier 1,Identifier 2,tray,Is standard?
HGL-0,NA,1,TRUE
DML,NA,1,TRUE
TD1,NA,1,TRUE
JASE,NA,1,TRUE
F4-01,NA,1,FALSE
F4-02,NA,1,NA
F4-03,NA,1,NA
F4-04,NA,1,NA
F4-05,NA,1,NA
F4-06,NA,1,NA
F4-07,NA,1,NA
F4-08,NA,1,NA
F4-09,NA,1,NA
F4-10,NA,1,NA
F4-11,NA,1,NA
F4-12,NA,1,NA
F4-13,NA,1,NA
F4-14,NA,1,NA
F4-15,NA,1,NA
F4-16,NA,1,NA
DML,NA,1,TRUE
NGT,NA,1,TRUE
JASE,NA,1,TRUE
F4-17,NA,1,NA
F4-18,NA,1,NA
F4-19,NA,1,NA
F4-20,NA,1,NA
F4-21,NA,1,NA
F4-22,NA,1,NA
F4-23,NA,1,NA
F4-24,NA,1,NA
F4-25,NA,1,NA
F4-26,NA,1,NA
F4-27,NA,1,NA
F4-28,NA,1,NA
F4-29,NA,1,NA
F4-30,NA,1,NA
F4-31,NA,1,NA
F4-32,NA,1,NA
DML,NA,1,TRUE
TD1,NA,1,TRUE
JASE,NA,1,TRUE
